,image,num_iters,execution_time,star_coord,flux_before,flux_after,bkg_before,bkg_after,l1_centroid_err,before_ecc,after_ecc,before_fwhm (pix),after_fwhm (pix),flag,bestBeta
78,ccfbvc310080.fits,3,0.0467,"(156.81873082053954, 58.90881835666826)",7940.136,7940.1365,89.236328125,0.0,0.5363,0.2409727380969563,0.10967804188978703,5.838,3.2598,1,1.0
79,ccfbvc310080.fits,5,0.1167,"(416.2218724441299, 361.1147037073784)",7015.143,7015.1439,110.02652740478516,0.0,0.045,0.5269288417683182,0.12962528928383765,6.5492,2.6284,1,1.0
80,ccfbvc310081.fits,6,0.1599,"(188.11757058812034, 65.12939948074674)",14310.175,14310.177,87.43411254882812,0.0,1.146,0.39385308243519934,0.4540403083472687,6.8865,3.4067,1,1.0
81,ccfbvc310081.fits,3,0.0472,"(439.67304009724467, 102.32645440499986)",15025.363,15025.3637,98.96790885925293,0.0,0.0635,0.2732929154682586,0.1963076350579177,6.4375,3.6213,1,1.0
82,ccfbvc310081.fits,3,0.0454,"(359.8040650533793, 308.3053971459782)",8280.565,8280.5602,102.25186340439967,0.0,0.1791,0.20406143515374753,0.2985049741974388,5.7933,3.5767,1,1.0
83,ccfbvc310081.fits,3,0.0463,"(417.0053014450131, 520.3484516728839)",11038.172,11038.1688,117.71771621704102,0.0,0.2622,0.2888501730774842,0.2889051340466795,5.9495,3.5214,1,1.0
84,ccfbvc310081.fits,2,0.024,"(499.6620023239215, 396.78282270140863)",48852.242,48852.2316,130.02993774414062,0.0,0.6461,0.38705262344369684,0.3306970580845837,5.5363,3.6129,1,1.0
85,ccfbvc310081.fits,3,0.046,"(534.7589760554631, 499.4943608455904)",5834.641,5834.6405,130.98234176635742,0.0,1.3764,0.34427987645167035,0.318385911595756,5.6686,4.0077,1,1.0
86,ccfbvc310082.fits,1,0.0411,"(46.631488764990166, 372.86639680185294)",4081.3171,4081.3199,90.42610931396484,0.0,5.5239,0.3569273116926678,0.5630358042077305,4.3628,6.1247,1,1.0
87,ccfbvc310082.fits,1,0.0105,"(440.8270081249073, 283.66049920096214)",45016.38,28471.1279,128.54212188720703,18.383603557426998,0.4304,0.18899280531983154,0.23689838460040324,5.2199,4.7886,0,1.0
88,ccfbvc310082.fits,1,0.0095,"(248.76372480307754, 43.78883772067575)",21337.77,10398.6498,96.65596771240234,12.15458651833837,0.2696,0.6134503883663567,0.5706051968539021,7.8113,6.7106,0,1.0
